"EEF","PTS","FTA","EEF_MIN","FGA","TARGET_5Yrs"
18.8,3.5,5.5,0.618421052631579,3.7,"Yes"
4.4,3.5,1.3,0.505747126436782,3.7,"Yes"
3.4,3.5,0.3,0.395348837209302,3.7,"Yes"
4.4,3.5,1.3,0.505747126436782,3.7,"No"
3.4,3.5,0.3,0.395348837209302,3.7,"Yes"
5.6,3.8,0.7,0.528301886792453,3.4,"No"
11,11.2,3.3,0.3971119,9.4,"Yes"
8,5.8,1.4,0.4145078,5.3,"Yes"
9.2,8.7,1.5,0.597402597402597,6.8,"No"
6,5,2,0.413793103448276,3.8,"No"
3,1.5,0.3,0.441176470588235,1.7,"Yes"
4.5,3.1,0.9,0.3383459,2.8,"No"
7.1,4.7,1,0.470198675496689,4.5,"No"
16.1,14.1,3.3,0.583333333333333,11.9,"Yes"
21.2,16.1,6,0.588888888888889,12.1,"Yes"
6.4,4.6,0.6,0.3855422,4.4,"No"
6.1,4.3,1.5,0.3860759,3.6,"No"
6.1,4.3,1.5,0.3860759,3.6,"No"
4.1,3.8,1.5,0.372727272727273,4.1,"No"
8.3,7.3,2.2,0.463687150837989,6,"Yes"
5.8,5.4,1.2,0.3493976,5.5,"No"
8.5,9.1,3.1,0.445026178010471,9.2,"Yes"
3.9,3.1,0.9,0.469879518072289,2.9,"No"
3.2,1,0.2,0.40506329113924,0.8,"Yes"
2,2.3,0.5,0.333333333333333,2.5,"No"
3,3.8,1.3,0.2912621,3.8,"No"
8.2,8.4,3.4,0.4606742,6.1,"Yes"
5.3,5.6,1.6,0.4608696,5.1,"Yes"
4.1,4.7,0.4,0.440860215053763,4.2,"Yes"
5,2.8,1.4,0.413223140495868,2.6,"Yes"
3.3,3.4,0.9,0.358695652173913,4,"No"
2,3.9,1.6,0.18018018018018,4.2,"No"
5.7,3.7,1.1,0.537735849056604,3.3,"No"
8.7,9.5,2.3,0.4084507,8.8,"No"
10.4,8.4,1.2,0.412698412698413,7,"Yes"
11.6,9.9,1.7,0.43609022556391,9.3,"Yes"
5.1,4.3,1.1,0.476635514018692,4,"No"
11.1,7.4,2.3,0.593582887700535,5.6,"Yes"
11,9.9,2.2,0.3703704,8.3,"Yes"
14.2,13.2,2.4,0.50354609929078,12,"No"
11.7,11.8,3.2,0.441509433962264,8.6,"Yes"
10.1,13.4,3.4,0.342372881355932,12.9,"No"
6.5,5.2,0.7,0.4545455,5,"Yes"
23.7,19,4.2,0.5794621,16.1,"Yes"
4.6,3.8,0.7,0.312925170068027,3.9,"No"
3.8,3.1,1.1,0.3518519,2.5,"No"
4.2,4.1,1.2,0.396226415094339,4.2,"Yes"
6.5,4.9,1.9,0.464285714285714,3.4,"Yes"
2.8,1.9,0.7,0.333333333333333,1.7,"No"
20,20.6,4,0.56497175141243,19.1,"Yes"
16.1,12.4,2.3,0.579136690647482,10.4,"Yes"
7.9,6.1,1.8,0.503184713375796,5.4,"Yes"
4.6,3.3,0.8,0.5,2.6,"No"
14.8,11.2,2.2,0.60655737704918,10.1,"Yes"
4,3.7,1.1,0.5,3.3,"Yes"
9,5.1,1.8,0.532544378698225,3.4,"Yes"
4,2.9,0.9,0.425531914893617,2.6,"No"
3.6,4,1.6,0.339622641509434,3.5,"Yes"
7.6,3.8,1.1,0.580152671755725,3.2,"Yes"
16.3,8,2,0.6653061,5.7,"Yes"
3,8.7,0.8,0.326086956521739,7.5,"No"
12.2,8.7,1.9,0.514767932489451,7.5,"Yes"
12.2,8.7,1.9,0.514767932489451,7.5,"No"
3,8.7,0.8,0.326086956521739,7.5,"Yes"
12.2,8.7,1.9,0.514767932489451,7.5,"No"
3,8.7,0.8,0.326086956521739,7.5,"Yes"
4.4,3.5,0.7,0.4,3.4,"No"
8.5,9.6,2.9,0.379464285714286,9,"Yes"
10.3,6.5,1.6,0.686666666666667,5.1,"Yes"
4.1,3.9,1.5,0.3565217,3.3,"Yes"
5.7,5.1,1.1,0.3392857,5,"Yes"
6.9,4.7,1.9,0.4285714,4,"No"
8.5,9.3,3,0.447368421052632,7.8,"No"
11,6.8,2.2,0.558375634517767,5.3,"Yes"
11.3,8.5,2.7,0.543269230769231,6.3,"Yes"
21.7,16.8,3.1,0.586486486486486,14.9,"Yes"
8,5.9,1.2,0.4102564,5.6,"Yes"
3.3,3.2,0.8,0.4714286,2.9,"Yes"
12.5,13.8,3.4,0.451263537906137,11.4,"No"
5.3,5.1,1.7,0.4140625,4.6,"No"
13.5,14.7,3.5,0.46875,13.4,"Yes"
3.2,1.3,0.5,0.323232323232323,1.5,"Yes"
6.2,6.6,1.8,0.568807339449541,5.8,"Yes"
11.2,8.4,2.9,0.541062801932367,6.4,"Yes"
4.8,5.9,3,0.424778761061947,3.9,"Yes"
3.1,2.7,0.8,0.340659340659341,2.7,"No"
3.8,3.3,1.3,0.333333333333333,3,"No"
5.2,2.9,0.7,0.388059701492537,3.3,"Yes"
15.5,12.5,3,0.578358208955224,11.1,"Yes"
12.1,6.9,2.2,0.535398230088496,5.4,"Yes"
3.8,2.4,0.5,0.383838383838384,2.4,"No"
3.5,2.9,0.2,0.402298850574713,3,"Yes"
3.8,3,0.1,0.38,3.6,"Yes"
10.6,4.4,1.4,0.53,3,"Yes"
10.5,8.5,3.2,0.525,5.7,"Yes"
5,5,0.7,0.4545455,4.9,"Yes"
12.1,9.3,2,0.590243902439024,8.7,"Yes"
12.1,9.3,2,0.590243902439024,8.7,"Yes"
8.5,6.7,2.2,0.53125,5.2,"Yes"
7.5,4.1,1.1,0.421348314606741,3.8,"Yes"
15.3,8.9,2.6,0.5032895,8.6,"No"
3.3,2.5,0.8,0.379310344827586,2.6,"Yes"
3.4,2.4,0.7,0.53125,1.9,"Yes"
24.5,20.1,6.6,0.6621622,16.1,"Yes"
14.6,8.4,2.5,0.540740740740741,7,"Yes"
7.5,3.9,1,0.5859375,2.9,"No"
4.8,4.1,1.2,0.5,3.7,"Yes"
9.3,10.7,4.7,0.4043478,8.5,"Yes"
4.2,2.6,1,0.6774194,2.4,"Yes"
10.3,7.2,1.6,0.447826086956522,6.8,"Yes"
2,1.9,0.6,0.333333333333333,2.1,"No"
2.3,2,0.7,0.298701298701299,2,"No"
10.3,7.3,2.2,0.530927835051546,5.1,"Yes"
17.1,11.9,2.3,0.6309963099631,11.7,"Yes"
9.1,7.5,2,0.5141243,6.2,"Yes"
15.2,9.6,2.3,0.6129032,8.1,"Yes"
2.6,2.6,1.1,0.313253012048193,2.4,"Yes"
2.6,2.6,1.1,0.313253012048193,2.4,"Yes"
12.5,12.5,2.9,0.5,11.5,"Yes"
16.4,13.6,1.6,0.546666666666667,13.9,"Yes"
16.4,13.6,1.6,0.546666666666667,13.9,"No"
16.4,13.6,1.6,0.546666666666667,13.9,"Yes"
20.8,21.9,6.2,0.5621622,17.6,"No"
20.8,21.9,6.2,0.5621622,17.6,"No"
14.8,11.9,5,0.498316498316498,8.4,"Yes"
9.2,5.7,1.3,0.4791667,4.9,"Yes"
6.3,4.4,1.1,0.5625,3.9,"Yes"
4.4,4.8,1.6,0.3464567,4.4,"Yes"
4.2,3.1,0.9,0.415841584158416,3.2,"Yes"
16.8,9.4,2.9,0.60431654676259,6.9,"Yes"
6.5,3.6,0.9,0.5603448,3.2,"Yes"
7.8,2.9,0.7,0.561151079136691,2.2,"No"
10.7,9.2,2.3,0.421259842519685,7.8,"Yes"
7.1,6.2,1.1,0.568,5.7,"No"
3.1,2.4,0.8,0.2743363,2.5,"Yes"
3.5,3.4,1.2,0.432098765432099,2.9,"No"
4.6,3.6,1.6,0.422018348623853,3.1,"No"
11.7,9.5,1.8,0.404844290657439,9.1,"Yes"
3,3.2,1.5,0.2727273,3.2,"No"
15.8,11.1,3.5,0.470238095238095,9.9,"Yes"
2.5,2.2,0.9,0.43859649122807,1.5,"Yes"
2.6,3.1,1.5,0.2795699,2.7,"Yes"
6.2,5.2,1.3,0.405228758169935,4.7,"No"
11.3,8.2,2.9,0.509009,6.2,"Yes"
16.5,19.2,5.5,0.4495913,17.5,"Yes"
11.5,8.7,1.4,0.563725490196078,7.9,"Yes"
10.3,9.9,3.2,0.449781659388647,7.6,"Yes"
8.4,5.3,2.5,0.583333333333333,3.5,"Yes"
5.4,5.3,1.1,0.46551724137931,3.5,"Yes"
4.7,4.8,1.2,0.4051724,4.9,"Yes"
6.3,2.4,0.5,0.59433962264151,1.8,"No"
5.7,4.1,0.9,0.504424778761062,3.8,"No"
6.8,6.3,1.6,0.4473684,4.8,"Yes"
6.8,5.7,2.3,0.482269503546099,4.3,"No"
8.1,6.7,2,0.400990099009901,5.4,"Yes"
16.8,14.4,2.6,0.51063829787234,13.6,"Yes"
11.7,8.8,2.1,0.453488372093023,7.8,"Yes"
24.5,21.4,5,0.756172839506173,17.9,"Yes"
5.6,4.9,1.1,0.417910447761194,4.4,"No"
4,3.5,1.1,0.408163265306122,3.1,"Yes"
5.5,2.7,0.5,0.528846153846154,1.7,"Yes"
6.1,3.6,1,0.346590909090909,3.6,"No"
6.9,3.6,1.3,0.352040816326531,3.6,"No"
4.4,3.2,0.7,0.435643564356436,3.2,"Yes"
6.1,3.3,1.3,0.516949152542373,2.2,"No"
6.6,6.4,1.5,0.4748201,5.8,"No"
2.5,2.6,0.9,0.2840909,2.6,"No"
5.3,4.3,1.4,0.398496240601504,3.7,"No"
2.3,1.3,0.9,0.27710843373494,1.3,"No"
7.6,7.6,0.8,0.408602150537634,7.3,"Yes"
20,15.3,4.8,0.5813953,12.5,"Yes"
11,7.6,1.3,0.40590405904059,8,"Yes"
8.3,6.7,1.7,0.419191919191919,5.2,"Yes"
4.4,4.3,1.6,0.44,3.5,"Yes"
9.1,5.3,2.1,0.51123595505618,3.5,"Yes"
2.9,2.1,0.5,0.367088607594937,1.8,"Yes"
3.5,4.1,1.4,0.397727272727272,3.5,"Yes"
8.9,5.6,2.4,0.489010989010989,4.1,"Yes"
2.7,1.9,0.7,0.409090909090909,1.9,"No"
19.6,16.4,5.7,0.518518518518518,14.1,"Yes"
13,9.2,2.9,0.572687224669603,8,"Yes"
11.7,10.3,2.4,0.5625,9.4,"Yes"
4.4,4.4,1,0.3760684,4.4,"Yes"
6.3,2.8,1.2,0.5,2,"No"
9,6.9,1,0.511363636363636,6.7,"Yes"
6.6,6,1.7,0.445945945945946,4.4,"No"
13.1,13.5,3.3,0.453287197231834,11.8,"No"
6.5,4.4,0.5,0.43046357615894,4.1,"Yes"
8,5.2,1.4,0.601503759398496,4.3,"Yes"
3.6,3.6,0.9,0.439024390243902,3.8,"No"
6,4.2,1.7,0.545454545454545,2.8,"No"
3.7,3,1.2,0.318965517241379,2.2,"Yes"
9,6.6,1.2,0.422535211267606,5.2,"No"
11.8,8,1.2,0.487603305785124,7.1,"Yes"
7.9,5.1,1.4,0.323770491803279,5.7,"No"
8.9,7.9,2.1,0.4082569,7,"No"
20,14.9,5,0.65359477124183,12.5,"Yes"
3.9,2.2,0.6,0.573529411764706,2.1,"Yes"
9.5,6.8,1.4,0.387755102040816,6.2,"Yes"
10,6.8,0.8,0.518134715025907,6.6,"No"
10.6,8.6,2.6,0.488479262672811,7.6,"Yes"
14.5,11,2.2,0.611814345991561,10.2,"Yes"
5.3,3,0.3,0.363013698630137,3.1,"No"
16.7,10.2,3.6,0.742222222222222,6.7,"Yes"
6,4.1,1.4,0.483870967741935,2.9,"No"
4.7,3.8,0.7,0.447619047619048,3.7,"No"
4.2,2.9,0.7,0.6,2.4,"No"
18.1,12,2.8,0.5419162,11.4,"Yes"
6.2,3.3,1.3,0.4246575,2.9,"Yes"
3.2,2.8,0.6,0.438356164383562,2.6,"No"
6.3,5.4,2.1,0.466666666666667,4.2,"Yes"
17.9,20.3,5.6,0.517341040462428,17.1,"Yes"
2.9,2.9,1.2,0.287128712871287,2.6,"Yes"
3,3.5,2,0.2439024,2.8,"Yes"
5.4,5.9,2.4,0.3312883,4.8,"Yes"
7,7.6,2.3,0.4516129,5.9,"Yes"
6.5,4.1,1.2,0.384615384615385,4.1,"No"
10.1,8.1,1.5,0.564245810055866,6.5,"Yes"
6.4,5.1,1.2,0.432432432432433,5.1,"No"
20.5,16.6,5.5,0.5631868,13.5,"Yes"
5.4,4,1.5,0.36,3,"Yes"
15.3,11.8,1.7,0.4722222,11.4,"No"
22.2,14.7,3.9,0.6626866,11.7,"Yes"
7.6,6.6,1.8,0.365384615384615,6.4,"Yes"
7.6,6.6,1.8,0.365384615384615,6.4,"No"
9.7,9.1,3,0.489899,8.3,"Yes"
28.2,19.2,5,0.758064516129032,15.3,"Yes"
9.5,6.6,1.5,0.641891891891892,5.5,"Yes"
4.3,3.9,0.8,0.364406779661017,4.2,"Yes"
7.1,4.3,0.8,0.489655172413793,4.5,"Yes"
14.8,10.4,3.1,0.505119453924915,7.8,"Yes"
17.7,15.4,3.7,0.497191,12.6,"Yes"
8.7,4.1,0.3,0.572368421052632,4.1,"Yes"
2.6,1.5,0.7,0.472727272727273,1.3,"No"
8.5,5.2,0.8,0.4644809,4.6,"Yes"
2.3,2.3,0.5,0.442307692307692,2.1,"No"
22.2,18,5.5,0.588859416445623,16.5,"Yes"
11.1,9.1,1.3,0.5441176,8.4,"Yes"
5.7,4.8,1.9,0.459677419354839,3.7,"No"
3.9,3.4,1,0.513157894736842,2.4,"No"
5.4,4.1,1.2,0.394160583941606,4,"Yes"
13.3,10.5,2.5,0.610091743119266,8.6,"Yes"
9.6,5.5,1,0.596273291925466,4.9,"Yes"
19.2,14.8,4.2,0.6378738,12.3,"Yes"
8,6.7,1.2,0.519480519480519,6.8,"No"
8.2,6.8,1.1,0.493975903614458,6.7,"No"
5.1,4.5,1.6,0.342281879194631,4.4,"No"
7.9,3.9,1,0.4593023,3.1,"Yes"
3,5,0.4,0.428571428571429,4.4,"Yes"
3,1.6,0.4,0.428571428571429,1.6,"Yes"
4.3,3.8,1,0.551282051282051,3.1,"No"
4.3,3.3,1,0.551282051282051,2.6,"Yes"
3.6,3.3,2,0.36,2.6,"Yes"
10.6,10.6,2.4,0.34983498349835,11.7,"Yes"
10.1,7.4,1.7,0.517948717948718,6.9,"Yes"
1.8,2.1,0.8,0.2117647,2.1,"No"
8.2,5.4,1.6,0.677686,3.9,"No"
3,2.5,0.8,0.4285714,2.3,"No"
10.5,7.7,1.7,0.65625,6.4,"Yes"
3.6,2.7,0.7,0.423529411764706,2.2,"Yes"
10,8.5,3.2,0.404858299595142,6.7,"Yes"
11,7.2,0.9,0.582010582010582,5.6,"Yes"
0.8,1.2,0.4,0.181818181818182,1,"Yes"
5.5,4.5,1.9,0.478260869565217,3,"Yes"
12.1,11.5,3.4,0.5680751,9.5,"Yes"
10.8,8.7,3.2,0.635294117647059,6.5,"No"
17.9,14.7,3.9,0.592715231788079,12.4,"Yes"
11.6,7.1,1.8,0.53953488372093,5.3,"Yes"
20.1,16.7,5.2,0.582608695652174,15.1,"No"
18.5,15,3.9,0.4719388,11.9,"Yes"
13.5,9,2.4,0.519230769230769,7.9,"Yes"
4.8,2.2,1.2,0.350365,1.9,"Yes"
10.8,5,3.2,0.509433962264151,4.4,"No"
5.8,5,1,0.610526315789474,4.4,"Yes"
5.8,6.9,1,0.610526315789474,5,"No"
5.8,6.9,1,0.610526315789474,5,"Yes"
5.8,6.9,1,0.610526315789474,5,"No"
8.2,6.4,1.2,0.493975903614458,6.2,"No"
7.1,5.7,1.2,0.446540880503145,5.1,"Yes"
17,13.2,3.6,0.602836879432624,12.3,"Yes"
2.9,2.7,1.5,0.345238095238095,2.5,"No"
14.3,11.9,1.6,0.4914089,10.3,"Yes"
6.3,3.2,0.8,0.5206612,2.6,"No"
6.4,5.7,1.6,0.423841059602649,5.2,"No"
4.8,3.2,1,0.32,3.2,"Yes"
13.8,12.4,3.5,0.532818532818533,10.9,"Yes"
4.9,5,1,0.362962962962963,5.3,"Yes"
7.9,6.8,1.2,0.43646408839779,6.5,"Yes"
16.2,5.3,2,0.58273381294964,4.2,"Yes"
8.6,9.3,2.8,0.401869158878505,7.8,"Yes"
10.4,7.2,1.6,0.460176991150442,6.7,"No"
17.7,9.9,3.1,0.5746753,8.7,"No"
13,11.5,3.3,0.590909090909091,9.3,"Yes"
7.7,4.1,0.8,0.747572815533981,3.2,"No"
16.5,13.6,2.4,0.4954955,13,"Yes"
5.5,3.3,1,0.528846153846154,3,"No"
7.2,5.6,1.1,0.486486486486486,4.7,"No"
1.7,2.9,1.3,0.404761904761905,2.8,"No"
4.8,3.2,0.9,0.311688311688312,3.2,"No"
8,7.3,2.7,0.506329113924051,5.3,"Yes"
7.2,4.8,1.4,0.4768212,3.6,"Yes"
16.7,12.8,4.5,0.713675213675214,8.4,"Yes"
6.4,5.6,1.4,0.4637681,4.4,"Yes"
4.1,2.8,0.2,0.336065573770492,2.8,"No"
12.5,10.1,2.2,0.568181818181818,8.7,"No"
6.3,3.6,0.4,0.533898305084746,3.6,"Yes"
2.5,2.3,0.6,0.268817204301075,2.4,"No"
18.8,11.4,1.3,0.596825396825397,11.3,"Yes"
9.4,8.1,2.1,0.5251397,6.9,"Yes"
15.9,15.1,3.7,0.58029197080292,13.3,"Yes"
6.3,5.8,1,0.547826086956522,5.3,"Yes"
1.3,1.7,1,0.209677419354839,1.7,"No"
29.1,21,5.3,0.887195121951219,16.7,"Yes"
4.5,4,0.7,0.569620253164557,4.1,"Yes"
4.5,3.4,1,0.46875,3,"Yes"
5.6,4.5,0.6,0.408759124087591,4.1,"Yes"
8.4,7.9,1.3,0.488372093023256,6.8,"No"
7.7,7.5,1.4,0.366666666666667,7.9,"Yes"
7.8,6.2,1,0.391959798994975,6.7,"No"
14.7,11.9,2.8,0.488372093023256,11,"Yes"
2.9,2.8,1.2,0.325842696629213,3,"No"
12.9,10.2,2.4,0.594470046082949,8.6,"No"
9.6,10.4,1.9,0.391836734693878,12.2,"Yes"
9.3,4.9,1.3,0.596153846153846,4,"Yes"
1.9,2.2,1.1,0.358490566037736,1.8,"No"
2.2,1.3,0.4,0.354838709677419,1.4,"No"
18.5,15.8,4.5,0.6727273,12,"No"
3,3.3,1.2,0.379746835443038,3.1,"No"
1.8,2.2,0.8,0.264705882352941,2.3,"Yes"
9.4,5.3,1.6,0.5875,4.1,"Yes"
8.8,8.3,1.9,0.49438202247191,7.3,"No"
9.7,8.7,1.6,0.4553991,7.5,"No"
2.7,2.5,1.1,0.36986301369863,2,"No"
7.6,6.2,2.2,0.4,6,"Yes"
3.6,4.8,1.3,0.3529412,4.8,"No"
11.9,5.5,1.5,0.512931034482759,4.6,"Yes"
2.3,2.7,1.3,0.3833333,2.1,"Yes"
8.5,6.2,1.1,0.534591194968554,5.6,"No"
15.7,15.3,5.2,0.483076923076923,13.4,"Yes"
4.4,2.5,1,0.3893805,2.3,"Yes"
10.6,8,2.3,0.477477477477477,6.3,"No"
8.7,7.4,2.4,0.478022,6,"No"
8.7,9.7,1.8,0.428571428571429,8.1,"No"
2.9,3.6,1.5,0.432835820895522,3,"Yes"
14.5,12.7,4.4,0.480132450331126,10.4,"Yes"
7.3,7.4,2.2,0.442424242424242,6.2,"No"
6.5,5,1.7,0.4642857,4.3,"Yes"
4.2,2.7,1.1,0.378378378378378,2.6,"No"
8.5,5.2,0.8,0.508982035928144,4.5,"Yes"
6.5,4.8,1.4,0.4333333,4.6,"Yes"
11.2,7.9,2.2,0.535885167464115,7.1,"Yes"
4.9,4.8,2.3,0.352517985611511,3.7,"No"
7.1,5.9,1.5,0.4329268,4.9,"Yes"
32.6,23.4,8.9,0.8601583,16.1,"Yes"
3.7,2.3,1.2,0.435294117647059,1.7,"Yes"
5.3,4.9,0.7,0.3897059,4.7,"No"
9,5.5,1.8,0.481283422459893,4.5,"Yes"
5.5,4.8,1.6,0.41044776119403,4.1,"No"
19.1,14.3,4,0.626229508196721,11.6,"Yes"
8,8.1,2.4,0.487804878048781,6.9,"Yes"
23.4,17.5,2.5,0.646408839779005,14.3,"Yes"
9.5,8.2,1.8,0.4398148,7.4,"Yes"
7.4,5.9,0.9,0.397849462365591,5.4,"Yes"
21.6,18,4.7,0.598338,14.5,"Yes"
3.3,2.2,0.8,0.4285714,1.6,"No"
16.7,12.8,4.2,0.748878923766816,8.3,"Yes"
17.2,12,3,0.573333333333333,10.1,"Yes"
4.1,3.6,1.8,0.4226804,2.8,"Yes"
15.5,12,2.1,0.523648648648649,10.7,"No"
7.7,4.9,1.8,0.4695122,4.2,"Yes"
10.6,8,2.8,0.477477477477477,7.2,"No"
8.5,6.1,0.5,0.5519481,5.4,"No"
15.7,9,2.1,0.58364312267658,7.7,"Yes"
2.8,2.6,0.3,0.368421052631579,2.9,"No"
4.6,3.4,0.7,0.433962264150943,3.4,"No"
9.6,8.1,2.7,0.468292682926829,7.2,"Yes"
6.3,3.8,0.4,0.3865031,4.3,"No"
2.6,2.9,1.3,0.2300885,2.8,"No"
7.3,6.4,0.6,0.429411764705882,6.3,"Yes"
9.3,7.7,2.2,0.543859649122807,6.7,"Yes"
11,10.4,1.7,0.47008547008547,10.6,"Yes"
12.6,8.2,1.4,0.6,6.6,"Yes"
4.4,3.1,0.7,0.4356436,2.9,"No"
22,14.7,3.5,0.652818991097923,12.5,"Yes"
22,14.7,3.5,0.652818991097923,12.5,"No"
6.2,5,1.3,0.543859649122807,4,"Yes"
4.3,2.9,0.5,0.4673913,3.2,"No"
8.8,8,2.2,0.523809523809524,6.5,"Yes"
19.4,17.2,5.7,0.586102719033233,13,"Yes"
21.8,14.7,3.5,0.6318841,14,"Yes"
8.8,6.6,2.1,0.455958549222798,5.7,"Yes"
7.2,5.4,0.8,0.5070423,4.2,"Yes"
3.9,4.6,1.3,0.3679245,4.3,"No"
3.2,2.7,0.8,0.438356164383562,2.5,"No"
8,8.5,1.9,0.43010752688172,7.7,"Yes"
5.2,3.9,0.5,0.393939393939394,4.1,"No"
7.5,5.9,2.2,0.433526011560694,4.9,"Yes"
15.7,12.8,1.6,0.486068111455108,12.8,"No"
7.7,5.9,1.9,0.4350282,5.2,"Yes"
10.7,8.3,2.2,0.527093596059113,6,"Yes"
7.8,5.9,1.5,0.4148936,5.2,"No"
12.1,7.9,2,0.458333333333333,7.3,"Yes"
8.6,5.3,2.1,0.53416149068323,4,"Yes"
12.4,10.1,2.7,0.4806202,8.1,"No"
