"EEF","GP","FTM","PTS","FTA","TARGET_5Yrs"
3.4,1,1,3.5,0.3,"No"
3.4,1,1,3.5,0.3,"Yes"
18.8,1,1,3.5,5.5,"No"
3.4,1,1,3.5,0.3,"Yes"
4.4,1,1,3.5,1.3,"Yes"
4.4,1,1,3.5,1.3,"No"
18.8,1,1,3.5,5.5,"Yes"
18.8,1,1,3.5,5.5,"Yes"
3.4,1,1,3.5,0.3,"No"
3.4,1,1,3.5,0.3,"Yes"
4.4,1,1,3.5,1.3,"Yes"
18.8,1,1,3.5,5.5,"No"
4.4,1,1,3.5,1.3,"Yes"
18.8,1,1,3.5,5.5,"Yes"
18.8,1,1,3.5,5.5,"Yes"
3.4,1,1,3.5,0.3,"No"
1.3,1,1,1.3,0.4,"No"
3,1,1,2.1,0.6,"No"
18,3,2,13,2,"Yes"
11,2,2,8.9,1.2,"Yes"
6.5,2,1,3.9,1,"Yes"
16.2,2,3,11.5,3.8,"Yes"
4.4,2,2,4,1,"Yes"
2.9,1,2,3.8,1.7,"Yes"
5.2,1,2,4.9,1.4,"Yes"
4.6,2,2,3.1,1.3,"Yes"
10.4,3,1,5.9,0.8,"Yes"
2.4,1,1,1.4,0.2,"No"
8.5,2,2,5.7,2,"Yes"
7,2,2,4.5,1.2,"No"
3.7,2,1,3.9,0.8,"No"
9.8,3,2,6.1,1.7,"Yes"
9.5,2,2,7.6,2.1,"Yes"
12.7,3,2,9.4,2.2,"Yes"
13.6,2,3,14,3.8,"Yes"
8.6,2,3,8.6,2.8,"No"
3.7,1,1,3.4,0.9,"Yes"
4.1,2,1,1.9,0.5,"No"
8,2,1,4.6,0.7,"No"
6.1,3,2,4.3,1.5,"No"
6.1,3,2,4.3,1.5,"No"
27.6,2,3,17.5,4.7,"Yes"
1.9,1,1,1.8,0.4,"Yes"
5.4,1,1,3.7,1.1,"Yes"
21.1,3,3,18.2,6.8,"Yes"
7.4,2,2,5.1,1,"No"
24.6,3,3,18.8,3.6,"Yes"
10.6,3,2,9.5,1.6,"Yes"
18.5,3,3,15.6,5,"Yes"
28,3,3,20.1,4.3,"Yes"
7.3,2,2,5.6,2.4,"Yes"
12.2,2,2,6.8,2.3,"No"
4,2,1,2.5,0.6,"No"
9.9,3,2,7.7,2.1,"Yes"
8.2,3,3,6,2.4,"No"
8.1,3,2,5.8,1.4,"Yes"
2.1,2,1,2.2,0.4,"No"
2.6,1,1,2.3,0.6,"No"
5.2,2,2,3,1.1,"Yes"
4,1,2,2.8,1,"No"
5,2,2,4.7,1.4,"Yes"
4.1,2,1,2.8,0.4,"Yes"
4,1,1,4.1,0.8,"No"
3.4,2,1,2.2,0.4,"No"
9.4,2,2,8.8,1,"Yes"
2.5,1,1,3,0.9,"No"
11.9,2,2,6.2,2.4,"Yes"
9.8,2,2,8.2,1.8,"Yes"
6.6,2,2,5.6,2,"No"
20.5,3,3,19,3.9,"Yes"
4.4,2,1,3.7,0.5,"Yes"
11.9,2,2,8.6,2.4,"Yes"
9.9,3,2,9.7,1.4,"Yes"
7.4,1,2,6.5,1.2,"No"
5.7,2,1,4.6,0.7,"Yes"
10.2,3,2,8.6,1.9,"Yes"
11,3,3,10.2,4.2,"Yes"
11.7,3,2,7.5,1.9,"Yes"
12.1,3,2,7.9,2.3,"Yes"
6.3,2,1,3.9,0.8,"Yes"
13.9,3,2,9.4,2.9,"Yes"
4,2,1,2.3,0.2,"No"
1.8,1,1,1.9,0.7,"No"
7.7,3,3,6.4,2.4,"Yes"
10.1,2,1,5.6,0.8,"Yes"
8.5,3,3,7.9,3.2,"Yes"
6.8,1,2,4.2,1.3,"No"
5.3,2,1,3.2,0.5,"No"
3.9,1,2,4,1.1,"No"
3.3,1,1,2.3,1,"Yes"
5.4,2,1,3.3,0.3,"No"
8.6,1,2,5.7,1.6,"Yes"
2.5,1,2,3.7,1.4,"No"
8.2,2,2,5.6,1.3,"Yes"
8.6,1,2,6.1,2.1,"No"
9,2,2,5.1,1.8,"No"
9,2,2,5.1,1.8,"Yes"
9,2,2,5.1,1.8,"No"
4.2,2,1,2.7,0.6,"No"
31.5,3,3,24.3,10.2,"Yes"
4.1,2,2,3.1,0.9,"Yes"
9,2,3,8.8,2.6,"Yes"
8.2,2,2,4.3,2.1,"Yes"
3,3,2,8.7,0.8,"No"
12.2,3,2,8.7,1.9,"Yes"
3,2,1,1.9,0.8,"No"
12.2,2,1,1.9,1.9,"Yes"
12.2,2,1,1.9,1.9,"No"
3,2,1,1.9,0.8,"Yes"
3,2,1,1.9,0.8,"No"
12.2,2,1,1.9,1.9,"Yes"
12.2,2,1,1.9,1.9,"No"
3,2,1,1.9,0.8,"Yes"
13.5,3,2,7.8,2,"Yes"
5.5,2,1,4.9,0.6,"Yes"
6.4,1,1,4.5,0.7,"Yes"
9.7,2,3,8.6,2.5,"Yes"
17,3,3,14.1,5,"Yes"
4.3,2,1,2.9,0.7,"Yes"
0.7,1,1,1.1,0,"No"
15,3,3,15.7,2.5,"Yes"
2.8,1,1,2.5,0.4,"No"
4.5,2,1,3.7,0.8,"No"
11,2,3,11.7,4.8,"Yes"
8.9,3,2,5.7,1.2,"Yes"
13.5,3,2,10.8,1.7,"Yes"
3.8,2,2,3.3,1.3,"No"
2.4,1,1,2,0.6,"No"
23.2,2,3,18.4,6,"Yes"
9.6,2,3,8.8,3,"Yes"
1.4,1,2,2.2,1,"Yes"
7.4,2,2,5.7,1.4,"Yes"
6.4,1,2,3.1,1,"No"
6,1,1,4.9,0.9,"No"
4.5,2,2,3.5,1.2,"Yes"
2.4,1,1,2.3,0.8,"No"
8.8,2,2,5.5,1.2,"No"
11.3,3,3,9.3,4,"Yes"
10.3,1,1,6.4,0.2,"No"
12,3,3,11.5,3.4,"Yes"
6.8,2,2,3.8,1.1,"Yes"
7.6,1,2,5.5,0.9,"Yes"
14.2,2,3,12.6,3.1,"Yes"
7.6,1,1,5.2,0.8,"No"
3.1,1,1,3.3,0.7,"No"
3.1,1,1,2.6,0.4,"No"
11,1,2,8.1,1.8,"Yes"
4.9,1,1,1.9,0.3,"No"
12.4,2,2,8.8,1.6,"Yes"
2.7,2,1,2.6,0.6,"Yes"
2.3,1,2,2.4,1.1,"Yes"
3.9,1,1,3.5,0.8,"No"
3.1,1,2,4.1,2.1,"No"
5.6,1,1,3.8,1,"Yes"
18.8,3,3,12,5,"Yes"
17.5,2,3,16.2,5.1,"Yes"
2.7,2,1,2.7,0.7,"Yes"
6.4,2,1,4.2,1.2,"Yes"
6.2,2,1,3.6,0.6,"Yes"
15.2,2,2,7.7,2,"Yes"
5.2,1,2,4.5,1.5,"No"
4.5,2,2,3.9,1.3,"No"
12.9,2,2,8.8,1.2,"Yes"
12.1,2,2,9.3,2,"Yes"
12.1,2,2,9.3,2,"Yes"
17.7,2,3,14,2.6,"Yes"
7.8,2,2,5.5,2.3,"Yes"
3.2,2,2,3.2,1.2,"No"
10.3,2,2,7,1,"Yes"
10.9,2,3,8.7,3.6,"Yes"
4.3,2,1,2.8,0.9,"Yes"
6.3,1,2,5.3,1.8,"No"
11.3,3,2,8.3,1.7,"Yes"
21.5,2,3,15.1,4.7,"Yes"
9.5,3,2,6.7,1.6,"Yes"
15.4,3,3,16.1,4.5,"Yes"
1.4,2,1,1.1,0.4,"No"
5.5,2,2,4.3,1.5,"Yes"
7.5,3,1,4.7,0.9,"Yes"
14.6,3,3,10,3.4,"Yes"
7.5,3,2,7,1.4,"Yes"
2.5,1,1,1.9,0.8,"Yes"
3.8,1,2,2.7,1.1,"Yes"
8.1,2,2,7.7,1.3,"No"
6.5,2,2,5.1,2.3,"Yes"
7.4,1,2,4.3,1.6,"Yes"
13.5,3,3,7.1,3.1,"Yes"
7.1,3,2,4.9,1.6,"Yes"
12.2,3,3,10.7,2.6,"Yes"
10.2,3,2,7.5,1.8,"No"
4,1,1,3.6,0.6,"Yes"
4.8,1,1,3.7,0.4,"No"
4.2,1,2,5,1.9,"Yes"
4.2,1,2,2.9,0.9,"No"
2.8,2,1,3.4,0.9,"No"
10.9,3,2,9.8,1.3,"Yes"
14.8,3,2,7.2,1.2,"Yes"
3.7,2,2,3.8,1.4,"No"
13,3,3,9.6,2.7,"Yes"
6.6,2,2,5.7,1.9,"Yes"
2.7,1,1,2.7,0.4,"Yes"
2.3,1,1,2.4,0.4,"No"
5.3,1,2,4.7,1.3,"No"
7.3,2,2,6.9,1.5,"No"
2.6,1,2,2.6,1.1,"Yes"
2.6,1,2,2.6,1.1,"Yes"
7.1,2,2,7.2,1.3,"No"
4,2,1,3.2,0.9,"Yes"
12.8,1,3,10.9,3.4,"Yes"
5.6,2,2,4.5,2.2,"Yes"
16.4,2,2,13.6,1.6,"No"
20.8,3,3,21.9,6.2,"Yes"
20.8,3,3,21.9,6.2,"Yes"
6.7,2,2,5.4,1.3,"Yes"
5.9,2,2,5.5,1.7,"No"
23.2,2,3,19.9,7.3,"Yes"
7.3,3,1,3.6,0.7,"Yes"
15.5,3,3,11.7,4,"Yes"
7.4,3,2,5.5,1.9,"Yes"
2.8,1,1,1.9,0.5,"Yes"
8.3,2,2,6,1.2,"Yes"
13.4,2,3,8.9,3.7,"No"
3.8,2,1,3.7,0.7,"No"
4.2,2,2,4.1,1.7,"Yes"
10.4,2,3,8.7,3,"No"
9.3,2,3,10.3,2.9,"No"
7.6,2,1,4.6,0.7,"No"
8.2,2,1,5.6,0.8,"Yes"
4,2,1,2.9,0.6,"No"
7.8,1,2,8.1,1.9,"Yes"
4.3,1,2,4.3,1.8,"No"
19.1,3,2,11.5,2.3,"Yes"
16.1,3,3,15.1,3.7,"Yes"
5.1,2,2,3.1,1.2,"Yes"
8.9,2,2,6,0.9,"No"
12.2,3,2,7.7,2.2,"Yes"
20.1,3,3,14.6,5,"Yes"
6.1,2,2,5.4,1.1,"Yes"
8,2,3,7,2.4,"Yes"
17.1,3,3,16.6,3.4,"Yes"
13.7,2,3,11.5,2.8,"Yes"
8.5,1,2,6.7,1.2,"No"
3.7,1,1,2.3,0.5,"Yes"
17.6,2,3,17,6,"Yes"
9.2,2,2,6.4,1.8,"No"
5.7,1,2,6,1.4,"Yes"
9.4,2,2,8.3,1.7,"No"
9.5,2,2,10.3,2.1,"Yes"
16.3,1,3,12.3,2.6,"No"
6.5,1,2,4.6,1.6,"No"
7,3,1,5,0.9,"Yes"
21.5,2,3,17.5,3.7,"No"
4.4,1,1,3.2,0.3,"No"
15.4,3,2,9.4,2.3,"Yes"
5.9,2,1,4.6,0.6,"Yes"
7,1,2,5.6,1.7,"No"
16.3,3,2,8.5,1.1,"Yes"
8.4,2,2,3.9,2.5,"Yes"
5.4,2,2,3.9,1.1,"Yes"
11.4,3,2,8.2,1.9,"Yes"
6.6,2,2,3.4,0.8,"Yes"
18.7,2,3,13.4,2.9,"Yes"
3.6,1,1,3.4,0.9,"No"
15.7,1,2,6.3,2.1,"Yes"
15.7,1,2,3.7,2.1,"Yes"
6.8,1,2,3.7,1.6,"Yes"
4.7,2,1,3.3,0.9,"No"
9,2,2,5.8,1.6,"Yes"
11.7,1,2,6,1.4,"No"
8.4,2,3,6.4,2.6,"Yes"
11.2,2,2,9.6,1.4,"Yes"
3.4,2,2,3.2,1.2,"Yes"
6.9,2,2,4.5,2.1,"Yes"
3.9,1,1,3.5,0.6,"Yes"
17.9,3,3,11.7,3.5,"Yes"
6.8,2,2,4.5,1.1,"Yes"
10.8,3,2,8.1,1.7,"Yes"
15.5,3,3,11.1,3.5,"Yes"
15.7,2,2,12.8,2.1,"Yes"
8.9,2,2,6.5,2.2,"Yes"
5.3,2,2,5.6,2.1,"No"
11.8,2,2,9.5,2.1,"No"
11.5,3,3,10.5,3,"Yes"
9.3,3,2,5.3,1.5,"Yes"
4.9,2,2,4.6,1.1,"Yes"
11.6,3,3,12.1,2.1,"Yes"
6.4,2,2,6.3,1.9,"No"
19.2,3,3,14.4,5.5,"Yes"
6.1,2,2,6.1,1,"No"
6.9,2,2,6.1,1.3,"No"
7.8,2,2,5.8,1.3,"Yes"
9,1,2,5.1,1.6,"Yes"
6.3,2,3,6.3,3,"No"
6.4,2,1,3.6,0.8,"Yes"
2.4,1,1,3.1,0.6,"Yes"
2.4,1,1,2.9,0.6,"No"
6.6,1,2,4.9,1.2,"No"
6.8,2,2,5.6,1.6,"No"
5,1,2,4.1,1.7,"Yes"
3.8,1,1,3.2,0.7,"No"
7.1,2,2,6.1,2.4,"Yes"
6.4,2,2,4.8,2.1,"Yes"
8.9,3,3,9.3,3,"No"
4.8,2,2,3.7,1.9,"Yes"
3,1,1,2,0.7,"Yes"
15.7,2,3,19.2,7.2,"Yes"
3.2,2,2,4.3,1.9,"Yes"
8.5,2,2,6.3,1.3,"No"
3.2,3,2,1.7,0.9,"Yes"
4,2,1,1.7,0.7,"Yes"
8.2,2,2,6.3,1.5,"No"
2.7,1,2,2.6,1.3,"Yes"
5.5,2,2,4.5,1.2,"No"
11.1,2,3,6.6,2.6,"Yes"
5.2,2,1,4.7,0.7,"Yes"
23,3,3,18.9,5.4,"Yes"
3.8,1,1,3.8,0.6,"No"
11.5,3,3,9.4,2.9,"Yes"
11.6,2,1,7.5,0.7,"Yes"
8,3,2,5.2,1.6,"Yes"
6.9,2,2,5.7,1.2,"Yes"
2.9,1,2,2.6,1,"Yes"
8.1,2,2,7,1.6,"No"
2.7,1,1,1.8,0.2,"No"
9.6,2,2,6,1.7,"Yes"
6.5,2,2,6.1,1.1,"Yes"
2.3,1,2,3.9,1.7,"No"
5.2,2,1,2.9,0.5,"Yes"
6.5,2,3,5.5,2.6,"No"
3.8,2,2,2.8,1,"Yes"
2.7,1,2,2.8,1.4,"No"
5.7,2,2,4.8,1.6,"Yes"
11.8,3,2,7.4,2.1,"Yes"
4.1,2,2,5,1.3,"Yes"
3.1,1,1,2.9,0.8,"No"
6.1,1,1,4.2,0.3,"No"
11.6,3,3,8.3,3.1,"Yes"
7.5,1,1,4.7,0.6,"Yes"
14.3,2,3,11.9,2.7,"No"
11.3,1,2,11.7,2,"No"
6.3,1,1,4.4,0.2,"Yes"
7.4,1,2,4.6,1.5,"No"
14.7,3,3,10.1,2.9,"Yes"
3.9,2,1,3,0.5,"No"
7.9,1,1,4.4,0.7,"No"
13.1,2,2,8.6,2.1,"Yes"
14.6,2,3,9.7,3.2,"Yes"
6.2,1,2,6.4,1.1,"Yes"
3.6,2,1,2.3,0.3,"No"
4.7,2,1,3.1,0.9,"Yes"
6.1,2,1,3.9,0.9,"No"
2.6,2,2,3.1,1.5,"No"
5.5,2,2,3.8,1,"No"
10.7,3,2,6.4,1.5,"No"
21.6,2,3,17,4.5,"Yes"
3.6,2,1,3,0.3,"Yes"
28.7,3,3,18.3,3.4,"No"
13.6,2,2,7.9,1.4,"Yes"
6,1,2,5.4,2,"No"
6.4,2,2,4,1.3,"No"
12.4,2,2,7.4,1.7,"No"
3.6,1,1,3.3,0.7,"No"
19.4,2,3,19.7,4.9,"Yes"
4.6,2,1,3.7,0.8,"No"
20.6,3,3,21.6,7.6,"Yes"
6.4,2,2,3.8,1.7,"Yes"
18.8,3,3,15.2,2.7,"Yes"
13.2,2,3,12.1,3.2,"Yes"
7.9,2,2,6.8,2.6,"Yes"
3.6,2,1,3.7,0.7,"No"
8.7,2,2,7,1.5,"Yes"
6.4,2,2,5.2,2.2,"Yes"
3.1,1,1,3.3,0.5,"No"
6.3,1,2,5.3,1.3,"No"
17.9,2,3,13.8,3.3,"Yes"
11,2,3,8.3,2.9,"Yes"
14,2,3,10.4,2.7,"Yes"
7.3,3,1,5.9,0.8,"No"
19.1,3,3,16.4,2.8,"Yes"
2.4,1,1,1.8,0.4,"No"
15.9,3,3,13.8,2.4,"Yes"
17.7,3,2,10.4,1.9,"Yes"
13.6,3,3,9.2,2.6,"Yes"
8.7,2,2,6.9,1.5,"No"
15.9,3,3,11.1,4.1,"Yes"
5.7,2,1,4.1,0.8,"No"
14.5,3,2,10,1.9,"Yes"
1.6,1,1,1.9,0.5,"Yes"
3.8,2,2,3.9,1.2,"No"
13,3,2,9.3,2.2,"Yes"
7.7,2,2,6.3,1.4,"No"
11.9,2,3,9.2,2.9,"Yes"
3,1,1,2.9,0.7,"No"
16.5,2,3,12,2.2,"Yes"
4.6,2,2,5,1.4,"No"
13.6,2,2,12.5,1.4,"Yes"
7.5,2,2,4.7,1.1,"Yes"
5.1,2,2,4.1,1.5,"Yes"
10,2,2,4.6,1.8,"Yes"
12.9,2,2,9,2.4,"Yes"
6,2,2,4.5,1.7,"Yes"
4.3,1,1,2.2,0.4,"No"
4.8,2,1,4.5,0.3,"Yes"
8,2,1,4.1,0.8,"Yes"
11.2,3,2,8.8,1.5,"Yes"
8.1,2,2,5.3,1,"No"
3.3,1,1,2.4,0.6,"No"
13.4,2,2,9,1.8,"Yes"
13.7,3,3,14.1,3.3,"Yes"
4,2,1,4.1,0.8,"No"
16,3,2,9.7,1.8,"Yes"
2,1,1,1.5,0.5,"No"
7.6,2,2,6.6,1.8,"Yes"
7.6,2,2,6.6,1.8,"No"
28.2,3,3,19.2,5,"Yes"
28.2,3,3,19.2,5,"No"
28.2,3,3,19.2,5,"No"
8.2,2,2,6.6,2.2,"Yes"
6.1,1,1,3.1,1,"No"
11.3,2,1,5.5,0.7,"No"
19.1,3,3,9.6,3.7,"Yes"
9.6,2,2,5.4,1.9,"Yes"
11.5,2,3,9.5,3.1,"Yes"
6.7,1,2,6.6,1.7,"No"
4.1,1,2,3.8,1,"No"
22.2,3,3,20.9,5.8,"Yes"
8.8,3,3,11.5,4.3,"Yes"
5.4,1,2,3.9,1,"Yes"
5,2,2,4.2,2.3,"Yes"
2.8,1,1,3.2,0.7,"Yes"
4.5,2,2,4.5,1.9,"No"
9.9,2,2,4.9,1.5,"Yes"
12.4,3,2,10.3,1.7,"Yes"
7.9,1,1,4.2,0.9,"Yes"
4.9,2,1,4.5,0.7,"No"
3.3,1,1,3.1,0.7,"No"
4.9,2,2,4.5,1.8,"Yes"
8,2,2,5,1.4,"No"
3.1,2,2,1.8,1,"Yes"
12.3,2,2,7.3,1.9,"Yes"
3.6,1,1,1.3,0.3,"Yes"
2.7,2,1,1.8,0.7,"No"
10.2,2,2,7,1.3,"No"
6.2,2,2,5.4,1.5,"Yes"
6.2,2,1,3.9,0.5,"No"
7.2,2,2,5.5,1.1,"Yes"
4.8,2,1,2.4,0.6,"Yes"
11.5,3,2,8.8,1.5,"Yes"
4.9,1,2,4.1,0.8,"No"
1.7,1,1,2.8,0.7,"No"
14.1,2,2,14.1,1.5,"Yes"
12.4,1,2,8.3,1.1,"No"
6,1,2,5.3,1.3,"No"
4.4,1,2,3.3,0.9,"No"
5.3,2,2,3,1.1,"Yes"
5.9,2,2,5.7,1.3,"Yes"
6.5,2,2,5.9,1.7,"No"
7.7,3,2,5.1,1.4,"Yes"
16.5,2,3,13.2,4,"Yes"
6.8,3,2,5.9,1.6,"Yes"
10.5,2,2,9.5,2.2,"Yes"
4.4,1,2,4.1,1,"No"
2.5,1,1,2.4,0.3,"No"
10.9,2,2,7.8,1.9,"No"
15.4,2,3,14.5,2.4,"Yes"
8.2,3,2,6.8,1.1,"No"
8.2,3,2,6.8,1.1,"No"
8.2,3,2,6.8,1.1,"No"
14,3,3,10,2.4,"Yes"
9.2,1,3,7.2,2.7,"Yes"
1.5,2,1,0.9,0.4,"No"
6.3,3,2,3.6,1.4,"Yes"
19.4,2,3,18.7,4.8,"Yes"
10.5,2,2,7.9,1.6,"Yes"
7.2,2,2,5,1.2,"Yes"
7.2,1,1,1.6,1.2,"Yes"
