"","Name","FTA","FT.","OREB","DREB","REB","AST","STL","BLK","TOV","TARGET_5Yrs","rule_180","STL_TOV_ratio","double_time","EEF","EEF_GP","EEF_MIN"
"45","Robert Pack",1.8,"Moderate","normal","normal",1.3,"normal","normal","normal","Moderate",1,122.6,0.461538461538462,0,4.8,0.0666666666666667,0.387096774193548
"46","Pete Chilcutt",0.4,"Moderate","outstanding","normal",2.7,"normal","normal","normal","Low",1,227.3,0.833333333333333,0,6.3,0.091304347826087,0.533898305084746
"47","Chris Gatling",2,"Low","outstanding","normal",3.4,"normal","normal","outstanding","Moderate",1,122.9,0.75,0,8.5,0.157407407407407,0.752212389380531
"48","Tharon Mayes",1.5,"Low","normal","normal",0.7,"normal","normal","normal","Moderate",0,133.6,0.538461538461538,0,2.8,0.116666666666667,0.264150943396226
"49","Eric Murdock",1.2,"Moderate","normal","normal",1.1,"normal","normal","normal","Moderate",1,136.1,0.6,0,4.8,0.096,0.5
"50","Randy Brown",1,"Low","normal","normal",1.2,"normal","normal","normal","Moderate",1,111.1,0.75,0,4.5,0.0803571428571428,0.46875
"51","Greg Sutton",0.7,"Moderate","normal","normal",0.7,"normal","normal","normal","Moderate",0,143.6,0.4,0,3.8,0.0567164179104478,0.422222222222222
"52","Elliot Perry",0.8,"Low","normal","normal",0.8,"normal","normal","normal","Moderate",1,118.2,0.7,0,3.3,0.066,0.379310344827586
"53","Marty Conlon",0.7,"Moderate","normal","normal",1.5,"normal","normal","normal","Low",1,122.5,0.333333333333333,0,3.6,0.08,0.423529411764706
"54","Rodney Monroe",0.6,"Moderate","normal","normal",0.9,"normal","normal","normal","Low",0,141.6,0.5,0,3.2,0.0842105263157895,0.390243902439024
"55","John Turner",1.4,"Low","normal","normal",1.9,"normal","normal","normal","Moderate",0,96.4,0.125,0,2.7,0.0642857142857143,0.329268292682927
"56","Mark Randall",0.8,"Moderate","normal","normal",1.3,"normal","normal","normal","Low",0,138.8,0.4,0,3.9,0.0722222222222222,0.475609756097561
"57","Sean Green",0.8,"Low","normal","normal",1.2,"normal","normal","normal","Moderate",0,112.8,0.5,0,3.9,0.111428571428571,0.534246575342466
"58","Kevin Brooks",0.6,"Moderate","normal","normal",1.1,"normal","normal","normal","Low",0,143.5,0.4,0,3.2,0.0864864864864865,0.438356164383562
"59","Doug Lee",0.4,"Low","normal","normal",0.8,"normal","normal","normal","Low",0,122.7,0.666666666666667,0,3.1,0.0673913043478261,0.462686567164179
"60","Corey Crowder",0.4,"Moderate","normal","normal",0.8,"normal","normal","normal","Low",0,165,0.333333333333333,0,2.1,0.0411764705882353,0.328125
"61","Rich King",1.1,"Moderate","normal","normal",1.2,"normal","normal","normal","Low",0,113.6,0.2,0,1.9,0.0475,0.358490566037736
"62","Stephen Thompson",0.4,"Low","normal","normal",1,"normal","normal","normal","Low",0,75.3,1,0,2.3,0.121052631578947,0.479166666666667
"63","Charles Thomas",0.4,"Low","normal","normal",0.6,"normal","normal","normal","Low",0,113.8,0.2,0,1.3,0.0361111111111111,0.302325581395349
"64","Lionel Simmons",5.5,"Moderate","outstanding","outstanding",8.8,"outstanding","outstanding","outstanding","High",1,143.1,0.482758620689655,1,22.2,0.281012658227848,0.588859416445623
"65","Gary Harris",0.9,"Moderate","normal","normal",1.2,"normal","normal","normal","Low",0,125.3,1,0,2.8,0.0509090909090909,0.213740458015267
"66","Derrick Coleman",6,"Moderate","outstanding","outstanding",10.3,"outstanding","normal","outstanding","High",1,154,0.344827586206897,2,23.2,0.313513513513513,0.659090909090909
"67","Travis Mays",5.2,"Moderate","normal","normal",2.8,"outstanding","outstanding","normal","High",0,154.1,0.52,1,12.8,0.2,0.382089552238806
"68","Dennis Scott",2.5,"Moderate","normal","normal",2.9,"normal","normal","normal","High",1,154.9,0.5,1,15,0.182926829268293,0.526315789473684
"69","Gary Payton*",1.2,"Low","outstanding","normal",3,"outstanding","outstanding","normal","High",1,123.8,0.909090909090909,0,14.8,0.180487804878049,0.54014598540146
"70","Felton Spencer",3.1,"Moderate","outstanding","outstanding",7.9,"normal","normal","outstanding","Moderate",1,123.4,0.666666666666667,0,13.5,0.166666666666667,0.521235521235521
"71","Willie Burton",3.9,"Moderate","outstanding","normal",3.4,"normal","normal","normal","High",1,135.6,0.473684210526316,1,11,0.144736842105263,0.433070866141732
"72","Dee Brown",1.9,"Moderate","normal","normal",2.2,"outstanding","normal","normal","High",0,154.3,0.588235294117647,0,12.2,0.148780487804878,0.514767932489451
"73","Dee Brown",1.9,"Moderate","normal","normal",2.2,"outstanding","normal","normal","High",1,154.3,0.588235294117647,0,12.2,0.148780487804878,0.514767932489451
"74","Dee Brown",0.8,"Low","normal","normal",0.8,"normal","normal","normal","Low",0,119,0.833333333333333,0,3,0.0612244897959184,0.326086956521739
"75","Dee Brown",0.8,"Low","normal","normal",0.8,"normal","normal","normal","Low",1,119,0.833333333333333,0,3,0.0612244897959184,0.326086956521739
"76","Kendall Gill",2.2,"Moderate","outstanding","normal",3.2,"outstanding","outstanding","outstanding","High",1,142.8,0.65,1,14.5,0.176829268292683,0.611814345991561
"77","Duane Causwell",2.2,"Low","outstanding","outstanding",5.1,"normal","normal","outstanding","Moderate",1,114.4,0.461538461538462,0,12.1,0.159210526315789,0.535398230088496
"78","Mahmoud Abdul-Rauf",1.5,"Moderate","normal","normal",1.8,"outstanding","normal","normal","High",1,151,0.5,1,14.1,0.21044776119403,0.626666666666667
"79","A.J. English",2.2,"Low","normal","normal",2.1,"outstanding","normal","normal","High",0,124.3,0.25,0,9.2,0.131428571428571,0.446601941747573
"80","Danny Ferry",1.9,"Moderate","outstanding","normal",3.5,"normal","normal","normal","Moderate",1,154.3,0.333333333333333,0,10.2,0.125925925925926,0.497560975609756
"81","Mario Elie",2.7,"Moderate","outstanding","normal",3.3,"normal","normal","normal","Moderate",1,174,0.666666666666667,0,9.2,0.278787878787879,0.471794871794872
"82","Anthony Cook",2.2,"Low","outstanding","outstanding",5.6,"normal","normal","outstanding","Moderate",0,96.7,0.666666666666667,0,9.1,0.156896551724138,0.471502590673575
"83","Gerald Paddio",1.3,"Moderate","normal","normal",1.7,"normal","normal","normal","Moderate",0,146.5,0.3,0,7.1,0.101428571428571,0.420118343195266
"84","Bimbo Coles",1.2,"Moderate","normal","normal",1.9,"outstanding","normal","normal","Moderate",1,133.5,0.666666666666667,0,7.3,0.0890243902439025,0.442424242424242
"85","Bo Kimble",1.9,"Moderate","normal","normal",1.9,"normal","normal","normal","Moderate",0,144.5,0.416666666666667,0,6,0.0967741935483871,0.37037037037037
"86","Alec Kessler",1.7,"Low","outstanding","outstanding",4.3,"normal","normal","normal","Moderate",0,109.7,0.142857142857143,0,7.5,0.0961538461538462,0.46583850931677
"87","Loy Vaught",1,"Low","outstanding","outstanding",4.8,"normal","normal","normal","Low",1,114.9,0.428571428571429,0,9.6,0.131506849315069,0.596273291925466
"88","Tyrone Hill",2.1,"Low","outstanding","outstanding",5.2,"normal","normal","outstanding","Moderate",1,112.4,0.5,0,8.6,0.116216216216216,0.53416149068323
"89","Marcus Liberty",1.2,"Low","outstanding","normal",2.9,"normal","normal","normal","Moderate",0,134.9,0.666666666666667,0,8,0.105263157894737,0.519480519480519
"90","Terry Mills",1.2,"Low","outstanding","outstanding",4.2,"normal","normal","outstanding","Moderate",1,117.7,0.75,0,9.2,0.167272727272727,0.61744966442953
"91","Jamal Robinson",1.7,"Low","normal","normal",1.5,"outstanding","normal","normal","High",0,121.6,0.4375,0,7,0.148936170212766,0.489510489510489
"92","Henry James",1.9,"Moderate","normal","normal",2.1,"normal","normal","normal","Moderate",1,156.3,0.4,0,7.8,0.210810810810811,0.573529411764706
"93","Jerrod Mustaf",1.4,"Low","normal","normal",2.7,"normal","normal","normal","Moderate",0,110.9,0.2,0,5.3,0.0854838709677419,0.398496240601504
"94","Kevin Pritchard",1.2,"Moderate","normal","normal",1,"normal","normal","normal","Moderate",0,135,0.555555555555556,0,3.8,0.0612903225806452,0.304
"95","Gerald Glass",1.5,"Low","outstanding","normal",2,"normal","normal","normal","Moderate",0,124,0.75,0,7.3,0.143137254901961,0.61344537815126
"96","Larry Robinson",0.8,"Low","normal","normal",1.4,"normal","normal","normal","Moderate",1,96.9,0.5,0,4.3,0.119444444444444,0.364406779661017
"97","Jud Buechler",0.9,"Low","normal","normal",1.9,"normal","normal","normal","Low",1,131.8,1.66666666666667,0,4.7,0.0635135135135135,0.405172413793104
"98","Cedric Ceballos",2.6,"Low","outstanding","normal",2.4,"normal","normal","normal","Moderate",1,131.7,0.272727272727273,0,7.6,0.120634920634921,0.655172413793103
"99","Kyle Anderson",0.4,"Low","normal","normal",2.2,"normal","normal","normal","Low",0,126.4,1.66666666666667,0,4.3,0.13030303030303,0.398148148148148
"100","Greg Foster",1.1,"Low","normal","normal",2.8,"normal","normal","outstanding","Moderate",1,114.9,0.25,0,6.3,0.116666666666667,0.5625
"101","Brian Oliver",1,"Moderate","normal","normal",1.1,"normal","normal","normal","Low",0,141.8,0.714285714285714,0,4.3,0.0589041095890411,0.390909090909091
"102","Howard Wright",1.6,"Low","normal","normal",3,"normal","normal","normal","Low",0,107.1,0.428571428571429,0,4.6,0.306666666666667,0.422018348623853
"103","Tony Smith",0.9,"Low","normal","normal",1.1,"outstanding","normal","normal","Moderate",1,114.3,0.363636363636364,0,5.1,0.0796875,0.467889908256881
"104","Tate George",0.7,"Moderate","normal","normal",0.8,"normal","normal","normal","Moderate",0,121.5,0.625,0,4.6,0.0821428571428571,0.433962264150943
"105","Rick Calloway",1.2,"Low","normal","normal",1.2,"normal","normal","normal","Moderate",0,108.7,0.375,0,3.2,0.05,0.30188679245283
"106","Steve Henson",0.6,"High","normal","normal",0.8,"normal","normal","normal","Low",1,165.6,0.833333333333333,0,4.7,0.0691176470588235,0.465346534653465
"107","Andy Toolson",0.7,"Moderate","normal","normal",1.4,"normal","normal","normal","Low",0,153.6,0.6,0,3.7,0.0787234042553192,0.37
"108","Jayson Williams",1.1,"Low","normal","normal",2.1,"normal","normal","normal","Moderate",1,160.8,0.25,0,4,0.0769230769230769,0.408163265306122
"109","Kennard Winchester",0.7,"Moderate","normal","normal",1,"normal","normal","normal","Low",0,157.8,0.6,0,3.6,0.05625,0.378947368421053
"110","Johnny O'Bryant",0.8,"Low","normal","normal",1.9,"normal","normal","normal","Low",0,81.1,0.142857142857143,0,3.1,0.0911764705882353,0.287037037037037
"111","Dwayne Schintzius",1,"Low","normal","normal",2.9,"normal","normal","outstanding","Moderate",1,98.9,0.125,0,5.6,0.133333333333333,0.589473684210526
"112","Sean Higgins",0.7,"Moderate","normal","normal",1.3,"normal","normal","normal","Moderate",1,146.4,0.2,0,4.6,0.092,0.494623655913978
"113","Elden Campbell",0.9,"Low","normal","normal",1.8,"normal","normal","outstanding","Low",1,110.8,0.666666666666667,0,4.3,0.0826923076923077,0.589041095890411
"114","Kenny Williams",0.7,"Low","normal","normal",1.7,"normal","normal","outstanding","Low",0,120,0.166666666666667,0,4.2,0.056,0.6
"115","Keith Askins",0.6,"Low","normal","normal",1.7,"normal","normal","normal","Low",1,114,1.33333333333333,0,3.9,0.1,0.573529411764706
"116","Scott Williams",0.5,"Moderate","normal","normal",1.9,"normal","normal","normal","Low",1,172.4,0.4,0,4.2,0.0823529411764706,0.636363636363636
"117","Richard Coffey",0.4,"Low","normal","normal",1.5,"normal","normal","normal","Low",0,91.8,1,0,2.2,0.0423076923076923,0.354838709677419
"118","Steve Scheffler",0.5,"High","normal","normal",1.2,"normal","normal","normal","Low",1,141.8,1,0,2.5,0.0641025641025641,0.431034482758621
"119","David Robinson*",10.2,"Moderate","outstanding","outstanding",12,"normal","outstanding","outstanding","High",1,126.3,0.548387096774194,2,31.5,0.384146341463415,0.860655737704918
"120","James Young",0.9,"Low","normal","normal",1.4,"normal","normal","normal","Low",0,116.3,1.5,0,3.6,0.116129032258065,0.336448598130841
"121","Tim Hardaway",3.5,"Moderate","normal","outstanding",3.9,"outstanding","outstanding","normal","High",0,150.9,0.636363636363636,1,22,0.278481012658228,0.652818991097923
"122","Tim Hardaway",3.5,"Moderate","normal","outstanding",3.9,"outstanding","outstanding","normal","High",1,150.9,0.636363636363636,1,22,0.278481012658228,0.652818991097923
"123","J.R. Reid",3.5,"Low","outstanding","outstanding",8.4,"normal","outstanding","outstanding","High",1,110.4,0.523809523809524,1,15.8,0.192682926829268,0.470238095238095
"124","Pooh Richardson",1.3,"Low","normal","normal",2.6,"outstanding","outstanding","normal","High",1,132.7,0.941176470588235,1,18.8,0.229268292682927,0.596825396825397
"125","Sherman Douglas",4,"Low","normal","normal",2.5,"outstanding","outstanding","normal","High",1,134.2,0.6,1,19.1,0.235802469135802,0.626229508196721
"126","Sam Mitchell",4.4,"Moderate","outstanding","outstanding",5.8,"normal","normal","outstanding","Moderate",1,121.4,0.666666666666667,1,14.5,0.18125,0.480132450331126
"127","Glen Rice",1.6,"Moderate","outstanding","outstanding",4.6,"normal","normal","normal","Moderate",1,141.9,0.6,1,16.4,0.212987012987013,0.546666666666667
"128","Glen Rice",1.6,"Moderate","outstanding","outstanding",4.6,"normal","normal","normal","Moderate",0,141.9,0.6,1,16.4,0.212987012987013,0.546666666666667
"129","Mookie Blaylock",1.6,"Moderate","normal","normal",2.8,"outstanding","outstanding","normal","High",1,137.4,0.727272727272727,1,12.2,0.244,0.482213438735178
"130","Sean Elliott",2.7,"Moderate","outstanding","normal",3.7,"normal","normal","normal","Moderate",1,145.8,0.428571428571429,1,11.9,0.146913580246914,0.47410358565737
"131","Blue Edwards",2.5,"Moderate","normal","normal",3.1,"normal","normal","outstanding","High",1,152.6,0.473684210526316,0,10.8,0.131707317073171,0.469565217391304
"132","Cory Jefferson",1.1,"Low","normal","normal",2.9,"normal","normal","outstanding","Low",0,115.6,0.5,0,5.7,0.114,0.537735849056604
"133","Nick Anderson",3.3,"Low","outstanding","normal",3.9,"normal","normal","outstanding","High",1,125.8,0.470588235294118,1,13,0.160493827160494,0.590909090909091
"134","Stacey King",3.3,"Moderate","outstanding","normal",4.7,"normal","normal","outstanding","Moderate",1,123.1,0.357142857142857,0,11.3,0.13780487804878,0.52073732718894
"135","Dana Barros",1.4,"Moderate","normal","normal",1.6,"outstanding","normal","normal","Moderate",1,161.3,0.466666666666667,0,9.9,0.122222222222222,0.492537313432836
"136","Jeff Martin",1.9,"Low","outstanding","normal",2.3,"normal","normal","normal","Low",0,124.9,0.857142857142857,0,6.4,0.0927536231884058,0.326530612244898
"137","Clifford Robinson",3.1,"Low","outstanding","normal",3.8,"normal","normal","outstanding","High",1,122,0.4375,0,8.5,0.103658536585366,0.445026178010471
"138","Winston Bennett",1.7,"Low","outstanding","normal",3.4,"normal","normal","normal","Moderate",0,114.6,0.363636363636364,0,8.1,0.147272727272727,0.45
"139","Chucky Brown",2.2,"Moderate","outstanding","normal",3.1,"normal","normal","normal","Moderate",1,123.2,0.444444444444444,0,8.3,0.110666666666667,0.463687150837989
"140","Michael Ansley",3.2,"Moderate","outstanding","normal",5,"normal","normal","normal","Low",0,121.9,0.428571428571429,0,10.8,0.15,0.635294117647059
"141","Todd Lichti",2.2,"Moderate","normal","normal",1.9,"normal","normal","normal","Moderate",1,123.3,0.583333333333333,0,8.8,0.111392405063291,0.523809523809524
"142","Noah Vonleh",1,"Low","outstanding","normal",3.4,"normal","normal","outstanding","Low",0,147.2,0.5,0,5.5,0.22,0.528846153846154
"143","B.J. Armstrong",1,"Moderate","normal","normal",1.3,"outstanding","normal","normal","Moderate",1,187,0.6,0,7.9,0.0975308641975308,0.49685534591195
"144","Terry Davis",1.4,"Low","outstanding","normal",3.6,"normal","normal","outstanding","Moderate",1,108.7,0.363636363636364,0,6.6,0.104761904761905,0.471428571428572
"145","Shawn Kemp",2,"Moderate","outstanding","normal",4.3,"normal","normal","outstanding","Moderate",1,138.2,0.461538461538462,0,9.1,0.112345679012346,0.659420289855073
"146","Tom Hammonds",1.6,"Low","normal","normal",2.8,"normal","normal","normal","Moderate",1,108,0.25,0,6.3,0.10327868852459,0.477272727272727
"147","Scott Haffner",0.6,"Low","normal","normal",1.2,"normal","normal","normal","Moderate",0,122.9,0.375,0,5.7,0.132558139534884,0.438461538461538
"148","Randy White",1.6,"Low","outstanding","normal",3.1,"normal","normal","normal","Moderate",1,100.2,0.5,0,4.7,0.0854545454545455,0.364341085271318
"149","Kenny Battle",1.4,"Low","normal","normal",2.1,"normal","normal","normal","Low",0,146.8,1.2,0,6,0.101694915254237,0.483870967741935
"150","Donald Royal",3,"Moderate","normal","normal",2.1,"normal","normal","normal","Moderate",1,123.6,0.416666666666667,0,4.8,0.0727272727272727,0.424778761061947
"151","Michael Carter-Williams",5.2,"Low","outstanding","outstanding",6.2,"outstanding","outstanding","outstanding","High",0,137.2,0.542857142857143,1,20.1,0.287142857142857,0.582608695652174
"152","Delaney Rudd",0.7,"Low","normal","normal",0.7,"outstanding","normal","normal","Moderate",0,137.5,0.272727272727273,0,4.4,0.0571428571428571,0.4
"153","John Morton",1.7,"Low","normal","normal",0.9,"normal","normal","normal","Moderate",0,122.5,0.357142857142857,0,2.3,0.0621621621621621,0.211009174311927
"154","Greg Grant",0.9,"Low","normal","normal",0.9,"outstanding","normal","normal","Moderate",1,123.3,0.454545454545455,0,4.2,0.0626865671641791,0.415841584158416
"155","Doug Roth",0.3,"Low","normal","normal",2.9,"normal","normal","normal","Low",0,93,0.5,0,4.9,0.116666666666667,0.5
"156","Byron Irvin",1.8,"Low","normal","normal",1.5,"normal","normal","normal","Moderate",0,150,0.75,0,5.3,0.106,0.540816326530612
"157","Michael Smith",1,"Moderate","normal","normal",1.5,"normal","normal","normal","Moderate",0,137.5,0.125,0,5.8,0.0892307692307692,0.610526315789474
"158","Michael Smith",1,"Moderate","normal","normal",1.5,"normal","normal","normal","Moderate",1,137.5,0.125,0,5.8,0.0892307692307692,0.610526315789474
"159","Michael Smith",3.2,"Low","outstanding","outstanding",5.9,"normal","normal","outstanding","Moderate",0,102.7,0.538461538461538,0,10.8,0.131707317073171,0.509433962264151
"160","Michael Smith",3.2,"Low","outstanding","outstanding",5.9,"normal","normal","outstanding","Moderate",1,102.7,0.538461538461538,0,10.8,0.131707317073171,0.509433962264151
"161","George McCloud",0.4,"Moderate","normal","normal",1,"normal","normal","normal","Moderate",1,142.7,0.5,0,2.7,0.0613636363636364,0.287234042553192
"162","Henry Turner",1.8,"Low","normal","normal",1.4,"normal","normal","normal","Low",0,109,0.714285714285714,0,4.3,0.119444444444444,0.488636363636363
"163","Charles Smith",1.3,"Low","normal","normal",1.2,"normal","normal","normal","Low",1,114.1,1,0,4.4,0.0733333333333333,0.505747126436782
"164","Charles Smith",1.3,"Low","normal","normal",1.2,"normal","normal","normal","Low",1,114.1,1,0,4.4,0.0733333333333333,0.505747126436782
"165","Charles Smith",1.3,"Low","normal","normal",1.2,"normal","normal","normal","Low",0,114.1,1,0,4.4,0.0733333333333333,0.505747126436782
"166","Charles Smith",5.5,"Moderate","outstanding","outstanding",6.5,"normal","normal","outstanding","High",1,122,0.476190476190476,1,18.8,0.264788732394366,0.618421052631579
"167","Charles Smith",5.5,"Moderate","outstanding","outstanding",6.5,"normal","normal","outstanding","High",1,122,0.476190476190476,1,18.8,0.264788732394366,0.618421052631579
"168","Charles Smith",5.5,"Moderate","outstanding","outstanding",6.5,"normal","normal","outstanding","High",0,122,0.476190476190476,1,18.8,0.264788732394366,0.618421052631579
"169","Charles Smith",0.3,"Low","normal","normal",0.8,"normal","normal","normal","Moderate",1,125.6,0.375,0,3.4,0.1,0.395348837209302
"170","Charles Smith",0.3,"Low","normal","normal",0.8,"normal","normal","normal","Moderate",1,125.6,0.375,0,3.4,0.1,0.395348837209302
"171","Charles Smith",0.3,"Low","normal","normal",0.8,"normal","normal","normal","Moderate",0,125.6,0.375,0,3.4,0.1,0.395348837209302
"172","Ed Horton",1.5,"Low","outstanding","normal",2.4,"normal","normal","normal","Moderate",0,110.3,0.222222222222222,0,5.2,0.115555555555556,0.626506024096386
"173","Trey Burke",1.6,"High","normal","normal",3,"outstanding","normal","normal","High",0,161.3,0.315789473684211,1,15.7,0.224285714285714,0.486068111455108
"174","Frank Kornet",0.7,"Low","normal","normal",1.2,"normal","normal","normal","Low",0,123.3,0.75,0,2.3,0.0403508771929825,0.298701298701299
"175","Doug West",0.6,"Moderate","normal","normal",1.3,"normal","normal","normal","Low",1,147.9,0.333333333333333,0,2.7,0.0519230769230769,0.36986301369863
"176","Adrian Caldwell",0.5,"Low","normal","normal",2.1,"normal","normal","normal","Low",1,101.7,0.333333333333333,0,3.6,0.0705882352941176,0.553846153846154
