"","Name","GP","MIN","PTS","FGM","FGA","FG.","X3P.Made","X3PA","X3P.","FTM"
"101","Brian Oliver","Moderate","Moderate",3.8,"Moderate",3.7,"Moderate","Moderate",0.2,"Moderate","Moderate"
"102","Howard Wright","Low","Moderate",3.6,"Low",3.1,"Moderate","Low",0.1,"Low","Moderate"
"103","Tony Smith","Moderate","Moderate",3.7,"Moderate",3.4,"Moderate","Low",0.1,"Low","Low"
"104","Tate George","Moderate","Low",3.4,"Low",3.4,"Moderate","Low",0,"Low","Low"
"105","Rick Calloway","Moderate","Low",3.2,"Low",3,"Low","Low",0,"Low","Moderate"
"106","Steve Henson","Moderate","Low",3.1,"Low",2.8,"Moderate","Moderate",0.8,"Moderate","Low"
"107","Andy Toolson","Low","Low",2.9,"Low",2.6,"Moderate","Moderate",0.7,"Moderate","Low"
"108","Jayson Williams","Moderate","Low",3.5,"Low",3.1,"Moderate","Low",0,"Moderate","Moderate"
"109","Kennard Winchester","Moderate","Low",3.7,"Moderate",3.8,"Low","Moderate",0.3,"Moderate","Low"
"110","Johnny O'Bryant","Low","Low",2.9,"Low",3.5,"Low","Low",0,"Low","Low"
"111","Dwayne Schintzius","Low","Low",3.8,"Moderate",3.7,"Moderate","Low",0,"Low","Low"
"112","Sean Higgins","Moderate","Low",4.5,"Moderate",4.2,"Moderate","Moderate",0.4,"Moderate","Low"
"113","Elden Campbell","Moderate","Low",2.8,"Low",2.4,"Moderate","Low",0,"Low","Low"
"114","Kenny Williams","Moderate","Low",2.9,"Low",2.4,"Moderate","Low",0,"Low","Low"
"115","Keith Askins","Low","Low",2.2,"Low",2.1,"Moderate","Moderate",0.6,"Moderate","Low"
"116","Scott Williams","Moderate","Low",2.5,"Low",2,"Moderate","Low",0,"Moderate","Low"
"117","Richard Coffey","Moderate","Low",1.3,"Low",1.4,"Low","Low",0,"Low","Low"
"118","Steve Scheffler","Low","Low",1.5,"Low",1,"Moderate","Low",0,"Low","Low"
"119","David Robinson*","High","High",24.3,"High",15.9,"Moderate","Low",0,"Low","High"
"120","James Young","Low","Low",3.4,"Low",3.3,"Low","Moderate",2.1,"Moderate","Low"
"121","Tim Hardaway","High","High",14.7,"Moderate",12.5,"Moderate","Moderate",1.1,"Moderate","High"
"122","Tim Hardaway","High","High",14.7,"Moderate",12.5,"Moderate","Moderate",1.1,"Moderate","High"
"123","J.R. Reid","High","High",11.1,"Moderate",9.9,"Moderate","Low",0.1,"Low","High"
"124","Pooh Richardson","High","High",11.4,"Moderate",11.3,"Moderate","Moderate",1,"Moderate","Moderate"
"125","Sherman Douglas","High","High",14.3,"Moderate",11.6,"Moderate","Moderate",0.4,"Moderate","High"
"126","Sam Mitchell","High","High",12.7,"Moderate",10.4,"Moderate","Low",0.1,"Low","High"
"127","Glen Rice","Moderate","High",13.6,"Moderate",13.9,"Moderate","Moderate",0.9,"Moderate","Moderate"
"128","Glen Rice","Moderate","High",13.6,"Moderate",13.9,"Moderate","Moderate",0.9,"Moderate","Moderate"
"129","Mookie Blaylock","Moderate","High",10.1,"Moderate",11.4,"Low","Moderate",1.6,"Moderate","Moderate"
"130","Sean Elliott","High","High",10,"Moderate",8,"Moderate","Low",0.1,"Moderate","High"
"131","Blue Edwards","High","High",8.9,"Moderate",6.9,"Moderate","Moderate",0.4,"Moderate","High"
"132","Cory Jefferson","Moderate","Low",3.7,"Moderate",3.3,"Moderate","Low",0.3,"Moderate","Low"
"133","Nick Anderson","High","Moderate",11.5,"Moderate",9.3,"Moderate","Low",0.2,"Moderate","High"
"134","Stacey King","High","Moderate",8.9,"Moderate",6.5,"Moderate","Low",0,"Low","High"
"135","Dana Barros","High","Moderate",9.7,"Moderate",9.1,"Moderate","High",2.9,"Moderate","Moderate"
"136","Jeff Martin","Moderate","Moderate",6.3,"Moderate",6,"Moderate","Low",0.2,"Moderate","Moderate"
"137","Clifford Robinson","High","Moderate",9.1,"Moderate",9.2,"Low","Moderate",0.5,"Moderate","Moderate"
"138","Winston Bennett","Moderate","Moderate",6.1,"Moderate",5.2,"Moderate","Low",0,"Low","Moderate"
"139","Chucky Brown","Moderate","Moderate",7.3,"Moderate",6,"Moderate","Low",0.1,"Low","Moderate"
"140","Michael Ansley","Moderate","Moderate",8.7,"Moderate",6.5,"Moderate","Low",0,"Low","High"
"141","Todd Lichti","High","Moderate",8,"Moderate",6.5,"Moderate","Low",0.2,"Low","Moderate"
"142","Noah Vonleh","Low","Low",3.3,"Low",3,"Low","Moderate",0.5,"Moderate","Moderate"
"143","B.J. Armstrong","High","Moderate",5.6,"Moderate",4.8,"Moderate","Low",0.1,"Moderate","Moderate"
"144","Terry Davis","Moderate","Moderate",4.7,"Moderate",4.2,"Moderate","Low",0,"Low","Moderate"
"145","Shawn Kemp","High","Moderate",6.5,"Moderate",5.2,"Moderate","Low",0.1,"Moderate","Moderate"
"146","Tom Hammonds","Moderate","Moderate",5.3,"Moderate",4.8,"Moderate","Low",0,"Low","Moderate"
"147","Scott Haffner","Low","Moderate",4.6,"Moderate",5,"Moderate","Moderate",0.5,"Moderate","Low"
"148","Randy White","Moderate","Moderate",4.3,"Moderate",4.6,"Low","Low",0.3,"Moderate","Moderate"
"149","Kenny Battle","Moderate","Moderate",4.1,"Moderate",2.9,"Moderate","Low",0.1,"Moderate","Moderate"
"150","Donald Royal","Moderate","Moderate",5.9,"Moderate",3.9,"Moderate","Low",0,"Low","High"
"151","Michael Carter-Williams","Moderate","High",16.7,"Moderate",15.1,"Moderate","Moderate",3,"Moderate","High"
"152","Delaney Rudd","Moderate","Moderate",3.5,"Low",3.4,"Moderate","Moderate",0.7,"Moderate","Low"
"153","John Morton","Low","Moderate",3.9,"Low",4.4,"Low","Moderate",0.8,"Moderate","Moderate"
"154","Greg Grant","Moderate","Low",3.1,"Low",3.2,"Low","Low",0.2,"Moderate","Low"
"155","Doug Roth","Low","Low",1.9,"Low",2,"Moderate","Low",0,"Low","Low"
"156","Byron Irvin","Moderate","Low",5.2,"Moderate",4.1,"Moderate","Moderate",0.3,"Moderate","Moderate"
"157","Michael Smith","Moderate","Low",5,"Moderate",4.4,"Moderate","Low",0.4,"Moderate","Moderate"
"158","Michael Smith","Moderate","Low",5,"Moderate",4.4,"Moderate","Low",0.4,"Moderate","Moderate"
"159","Michael Smith","High","Moderate",6.9,"Moderate",5,"Moderate","Low",0,"Low","Moderate"
"160","Michael Smith","High","Moderate",6.9,"Moderate",5,"Moderate","Low",0,"Low","Moderate"
"161","George McCloud","Low","Low",2.7,"Low",3.3,"Low","Moderate",0.9,"Moderate","Low"
"162","Henry Turner","Low","Low",4.3,"Moderate",3.4,"Moderate","Low",0.1,"Low","Moderate"
"163","Charles Smith","Moderate","Low",2.9,"Low",2.2,"Moderate","Low",0.1,"Low","Moderate"
"164","Charles Smith","Moderate","Low",2.9,"Low",2.2,"Moderate","Low",0.1,"Low","Moderate"
"165","Charles Smith","Moderate","Low",2.9,"Low",2.2,"Moderate","Low",0.1,"Low","Moderate"
"166","Charles Smith","Moderate","High",16.3,"Moderate",12.4,"Moderate","Low",0,"Low","High"
"167","Charles Smith","Moderate","High",16.3,"Moderate",12.4,"Moderate","Low",0,"Low","High"
"168","Charles Smith","Moderate","High",16.3,"Moderate",12.4,"Moderate","Low",0,"Low","High"
"169","Charles Smith","Low","Low",3.5,"Low",3.7,"Low","Moderate",1.4,"Moderate","Low"
"170","Charles Smith","Low","Low",3.5,"Low",3.7,"Low","Moderate",1.4,"Moderate","Low"
"171","Charles Smith","Low","Low",3.5,"Low",3.7,"Low","Moderate",1.4,"Moderate","Low"
"172","Ed Horton","Low","Low",4.5,"Moderate",3.6,"Moderate","Low",0.1,"Low","Moderate"
"173","Trey Burke","Moderate","High",12.8,"Moderate",12.8,"Low","High",4.8,"Moderate","Moderate"
"174","Frank Kornet","Moderate","Low",2,"Low",2,"Low","Moderate",0.4,"Moderate","Low"
"175","Doug West","Moderate","Low",2.6,"Low",2.6,"Low","Moderate",0.2,"Moderate","Low"
"176","Adrian Caldwell","Moderate","Low",1.9,"Low",1.5,"Moderate","Low",0,"Low","Low"
"177","Kenny Payne","Low","Low",3.3,"Low",3.1,"Moderate","Moderate",0.3,"Moderate","Low"
"178","Eric Johnson","Moderate","Low",1.1,"Low",1.8,"Low","Low",0.1,"Moderate","Low"
"179","Mike Williams","Low","Low",0.7,"Low",0.9,"Low","Low",0,"Low","Low"
"180","Mike Morrison","Low","Low",2,"Low",1.9,"Low","Moderate",0.2,"Moderate","Moderate"
"181","Nate Johnston","Low","Low",2.2,"Low",2.3,"Low","Low",0.2,"Moderate","Low"
"182","Mitch Richmond*","High","High",22,"High",17.5,"Moderate","Moderate",1.1,"Moderate","High"
"183","Willie Anderson","High","High",18.6,"High",15.9,"Moderate","Low",0.3,"Moderate","High"
"184","Victor Oladipo","High","High",13.8,"Moderate",11.7,"Moderate","Moderate",2.8,"Moderate","High"
"185","Hersey Hawkins","High","High",15.1,"Moderate",12.3,"Moderate","Moderate",2.1,"Moderate","High"
"186","Kevin Edwards","High","High",13.8,"Moderate",14,"Moderate","Moderate",0.5,"Moderate","High"
"187","Grant Long","High","High",11.9,"Moderate",8.4,"Moderate","Low",0.1,"Low","High"
"188","Rex Chapman","Moderate","High",16.9,"High",16.9,"Moderate","Moderate",2.5,"Moderate","High"
"189","Brian Shaw","High","High",8.6,"Moderate",8.4,"Moderate","Low",0.2,"Low","Moderate"
"190","Chris Morris","Moderate","High",14.1,"Moderate",11.9,"Moderate","Moderate",2.3,"Moderate","High"
"191","Gary Grant","Moderate","High",11.9,"Moderate",11.7,"Moderate","Moderate",0.3,"Moderate","Moderate"
"192","Vernon Maxwell","High","High",11.7,"Moderate",10.5,"Moderate","Moderate",1.6,"Moderate","High"
"193","Ben McLemore","High","High",8.8,"Moderate",8.3,"Low","High",3.6,"Moderate","Moderate"
"194","Dan Majerle","Moderate","High",8.6,"Moderate",8,"Moderate","Moderate",1.5,"Moderate","Moderate"
"195","Sylvester Gray","Moderate","Moderate",8,"Moderate",7.2,"Moderate","Low",0.1,"Moderate","High"
"196","Ricky Berry","Moderate","Moderate",11,"Moderate",8.9,"Moderate","Moderate",2.5,"Moderate","High"
"197","Tom Garrick","Moderate","Moderate",6.4,"Moderate",5.1,"Moderate","Low",0.2,"Low","Moderate"
"198","Michael Anderson","Low","Moderate",5.7,"Moderate",4.9,"Moderate","Low",0.2,"Moderate","Moderate"
"199","Michael Anderson","Moderate","Moderate",7.4,"Moderate",5.8,"Moderate","Low",0.1,"Low","Moderate"
"200","Vinny Del Negro","High","Moderate",7.1,"Moderate",6.3,"Moderate","Moderate",0.3,"Moderate","Moderate"
"201","Kelvin Upshaw","Low","Moderate",6.8,"Moderate",6.6,"Moderate","Moderate",0.5,"Moderate","Low"
"202","Derrick Chievous","High","Moderate",9.3,"Moderate",7.8,"Moderate","Moderate",0.3,"Moderate","High"
"203","Ledell Eackles","High","Moderate",11.5,"Moderate",9.2,"Moderate","Moderate",0.5,"Moderate","High"
"204","Harvey Grant","Moderate","Moderate",5.6,"Moderate",5.5,"Moderate","Low",0,"Low","Low"
"205","Rod Strickland","High","Moderate",8.9,"Moderate",7,"Moderate","Moderate",0.7,"Moderate","High"
"206","Scott Brooks","High","Moderate",5.2,"Moderate",4.5,"Moderate","Moderate",1.9,"Moderate","Moderate"
"207","Todd Mitchell","Low","Moderate",5.1,"Moderate",4,"Moderate","Low",0,"Low","Moderate"
"208","John Shasky","Moderate","Moderate",5.5,"Moderate",3.8,"Moderate","Low",0,"Low","High"
"209","Mark Bryant","Moderate","Moderate",5,"Moderate",4.4,"Moderate","Low",0,"Low","Moderate"
"210","Mark Bryant","Low","Low",1.6,"Low",1.6,"Moderate","Low",0,"Low","Low"
"211","Shelton Jones","Moderate","Moderate",4.8,"Moderate",4.1,"Moderate","Low",0,"Low","Moderate"
"212","Eric Leckner","Moderate","Low",4.3,"Moderate",2.9,"Moderate","Low",0,"Low","Moderate"
"213","Jerome Lane","Moderate","Low",4.8,"Moderate",4.7,"Moderate","Low",0.1,"Low","Moderate"
"214","Tim Perry","Moderate","Low",4.1,"Moderate",3.2,"Moderate","Low",0.1,"Moderate","Low"
"215","Jim Les","High","Low",1.7,"Low",1.6,"Low","Low",0.2,"Moderate","Moderate"
"216","Craig Neal","Moderate","Low",2.2,"Low",2.3,"Low","Moderate",0.6,"Moderate","Low"
"217","David Rivers","Low","Low",2.9,"Low",2.6,"Low","Low",0.1,"Moderate","Moderate"
"218","John Starks","Low","Low",4.1,"Low",3.5,"Moderate","Moderate",0.7,"Moderate","Moderate"
"219","Andrew Lang","Moderate","Low",2.6,"Low",1.9,"Moderate","Low",0,"Low","Low"
"220","Bill Jones","Low","Low",3.5,"Low",2.8,"Moderate","Low",0,"Low","Moderate"
"221","Charles Shackleford","Moderate","Low",3.1,"Low",2.8,"Moderate","Low",0,"Low","Low"
"222","Morlon Wiley","Moderate","Low",2.2,"Low",2.2,"Moderate","Moderate",0.5,"Moderate","Low"
"223","Randolph Keys","Low","Low",4,"Moderate",4.1,"Moderate","Low",0.2,"Moderate","Low"
"224","Mark Davis","Low","Low",3.8,"Moderate",3.1,"Moderate","Low",0.3,"Moderate","Moderate"
"225","Mark Davis","Low","Low",3.8,"Moderate",3.1,"Moderate","Low",0.3,"Moderate","Moderate"
"226","Mark Davis","Moderate","Low",3.3,"Low",2.6,"Low","Moderate",0.2,"Moderate","Moderate"
"227","Mark Davis","Moderate","Low",3.3,"Low",2.6,"Low","Moderate",0.2,"Moderate","Moderate"
"228","Troy Williams","Low","Moderate",5.3,"Moderate",5.1,"Moderate","Moderate",1.7,"Moderate","Low"
"229","Hollis Thompson","Moderate","Moderate",6,"Moderate",4.8,"Moderate","Moderate",2.2,"Moderate","Moderate"
"230","Ron Grandison","Moderate","Low",2.5,"Low",2,"Moderate","Low",0.1,"Low","Moderate"
"231","Micheal Williams","Moderate","Low",2.6,"Low",2.6,"Low","Low",0.2,"Moderate","Low"
"232","Anthony Frederick","Low","Low",3.3,"Low",2.7,"Moderate","Low",0.1,"Moderate","Low"
"233","Avery Johnson","Low","Low",1.6,"Low",1.9,"Low","Low",0.2,"Moderate","Low"
"234","Everette Stephens","Low","Low",1.9,"Low",2.1,"Low","Moderate",0.3,"Moderate","Low"
"235","Jack Haley","Moderate","Low",2.2,"Low",1.5,"Moderate","Low",0,"Low","Moderate"
"236","Duane Ferrell","Low","Low",2.4,"Low",2,"Moderate","Low",0,"Low","Moderate"
"237","Mark Jackson","High","High",13.6,"Moderate",12.4,"Moderate","Moderate",1.5,"Moderate","High"
"238","Kenny Smith","Moderate","High",13.8,"Moderate",11.4,"Moderate","Moderate",0.6,"Moderate","High"
"239","Nate Wolters","Moderate","Moderate",7.2,"Moderate",6.7,"Moderate","Moderate",1.1,"Moderate","Moderate"
"240","Armen Gilliam","Moderate","High",14.8,"Moderate",13.1,"Moderate","Low",0,"Low","High"
"241","Winston Garland","Moderate","High",12.4,"Moderate",11.6,"Moderate","Moderate",0.6,"Moderate","High"
"242","Joe Wolf","Low","High",7.6,"Moderate",8,"Moderate","Moderate",0.4,"Moderate","Moderate"
"243","Reggie Williams","Low","High",10.4,"Moderate",12.2,"Low","Moderate",1.7,"Moderate","Moderate"
"244","Reggie Williams","Low","High",10.4,"Moderate",12.2,"Low","Moderate",1.7,"Moderate","Moderate"
"245","Greg Anderson","High","High",11.7,"Moderate",9.2,"Moderate","Low",0.1,"Moderate","High"
"246","Kevin Johnson","High","High",9.2,"Moderate",7.5,"Moderate","Moderate",0.3,"Moderate","High"
"247","Horace Grant","High","Moderate",7.7,"Moderate",6.3,"Moderate","Low",0,"Low","Moderate"
"248","Reggie Miller*","High","Moderate",10,"Moderate",7.6,"Moderate","Moderate",2.1,"Moderate","High"
"249","Dennis Hopson","Moderate","Moderate",9.6,"Moderate",9,"Moderate","Moderate",0.7,"Moderate","High"
"250","Ken Norman","Moderate","Moderate",8.6,"Moderate",7.6,"Moderate","Low",0.2,"Low","Moderate"
"251","Ryan Kelly","Moderate","Moderate",8,"Moderate",6.3,"Moderate","Moderate",2.4,"Moderate","High"
"252","Scottie Pippen*","High","Moderate",7.9,"Moderate",7.1,"Moderate","Moderate",0.3,"Moderate","Moderate"
"253","Derrick McKey","High","Moderate",8.5,"Moderate",6.3,"Moderate","Moderate",0.4,"Moderate","High"
"254","Muggsy Bogues","High","Moderate",5,"Moderate",5.4,"Low","Low",0.2,"Moderate","Moderate"
"255","Tellis Frank","High","Moderate",8.1,"Moderate",7.2,"Moderate","Low",0,"Low","High"
"256","Ricky Wilson","Low","Moderate",5.2,"Moderate",4.6,"Low","Moderate",1.1,"Moderate","Moderate"
